257,418,3,29.833
257,418,6,30
257,418,9,30
257,418,12,30
257,418,15,30
258,418,18,30.017
258,418,21,30.017
259,418,24,30.017
259,418,27,30
258,418,30,30
259,418,33,29.967
259,418,36,29.614
259,418,39,29.411
262,417,42,29.411
263,417,45,29.411
263,417,48,29.275
266,416,51,29.275
267,416,54,29.275
267,416,57,29.155
267,416,60,29.069
272,415,63,29.017
273,416,66,29.017
275,416,69,29.017
276,416,72,29.017
278,416,75,29.017
280,416,78,29.017
282,416,81,29.017
284,416,84,29.017
294,415,87,29.155
299,414,90,29.155
300,414,93,29.275
304,413,96,29.411
304,413,99,29.411
304,413,102,29.411
304,413,105,29.411
304,413,108,29.411
304,413,111,29.411
307,412,114,29.411
311,411,117,29.411
320,407,120,29.155
329,403,123,29.53
335,400,126,29.53
337,399,129,29.411
340,397,132,29.411
346,393,135,29.411
355,386,138,29.732
363,379,141,29.698
370,372,144,29.698
373,369,147,29.698
373,369,150,29.698
373,369,153,29.698
373,369,156,29.698
373,369,159,29.682
380,361,162,29.682
381,360,165,29.682
382,359,168,29.206
387,352,171,29.155
391,346,174,29.155
395,340,177,29.069
399,333,180,29.155
402,327,183,29.155
406,318,186,29.12
409,311,189,29.12
409,311,192,29.12
412,302,195,29.069
414,296,198,28.792
416,288,201,28.792
418,280,204,28.792
419,273,207,29
420,266,210,29
421,257,213,29
421,248,216,29
421,239,219,29
421,231,222,29
420,223,225,29
420,222,228,28.862
420,222,231,28.636
419,217,234,28.284
418,208,237,28.284
416,200,240,28.284
413,192,243,28.284
411,183,246,28.284
407,175,249,28.46
404,167,252,28.443
399,158,255,28.636
396,152,258,28.425
391,145,261,28.425
387,138,264,28.425
381,131,267,28.425
375,124,270,29
367,115,273,28.844
359,108,276,28.844
349,100,279,28.844
339,93,282,28.844
330,88,285,29.069
320,83,288,29.069
311,79,291,29.12
301,76,294,28.862
297,74,297,29.069
